Region/Country,Percentage of cultures with AMR 2019,Percentage of cultures with AMR 2020,Percentage of cultures with AMR 2021,Percentage of cultures with AMR 2022,Relative percent change 2019-2020,Relative percent change 2020-2021,,Relative percent change 2021-2022,Cultures per million inhabitants (CPM) 2019,Cultures per million inhabitants (CPM) 2020,Cultures per million inhabitants (CPM) 2021,Cultures per million inhabitants (CPM) 2022,Population Weight,CPM Weight,Precision Weight
Burkina Faso,,0,17.9,10.5,,,,-41.1,,1,1,2,0.0059,0.0029,0.0416
Ethiopia,,37.5,30.1,39.1,,-19.7,,29.8,,1,1,2,0.0328,0.0029,0.0978
Mali,,12.9,13,13,,1.4,,0,,3,3,3,0.006,0.009,0.1042
Mauritius,,30.8,35.1,35.1,,13.9,,0.1,,1020,895,839,0.0004,1,0.3135
South Africa,,30.6,37.4,33.4,,22.2,,-10.7,,362,353,384,0.0167,1,1
Tanzania,,17.9,2.3,9.6,,-86.9,,309.5,,0,2,5,0.0168,0.0035,0.1161
Zambia,,10,3.1,13.8,,-69,,344.8,,1,7,3,0.0053,0.0101,0.1004
Bahrain,,48.2,55.2,47.9,,14.6,,-13.3,,281,308,278,0.0004,0.8229,0.1758
Iran,,47.9,57.3,49.3,,19.6,,-13.8,,12,17,19,0.0242,0.0406,0.3003
Iraq,,38.5,40,47.3,,3.9,,18.2,,8,16,31,0.0116,0.0331,0.1891
Jordan,,24.4,47.4,32.6,,93.9,,-31.1,,36,29,134,0.003,0.0909,0.1711
Kuwait,,41.5,29.7,17.2,,-28.4,,-42.2,,66,81,279,0.0012,0.2049,0.1589
Lebanon,,21.1,25.5,10.7,,20.7,,-57.8,,64,38,216,0.0016,0.1425,0.169
Oman,,38.4,49.5,23.9,,28.9,,-51.7,,49,130,144,0.0012,0.2498,0.1656
Pakistan,,37.8,39.3,39.2,,3.8,,-0.1,,7,39,60,0.0648,0.064,0.5861
Qatar,,3,1.3,3,,-58.4,,139.6,,451,316,436,0.0008,1,1
Saudi Arabia,,39.8,35.3,23,,-11.3,,-34.8,,74,31,52,0.0085,0.1465,0.3408
Tunisia,,49.1,46.1,25.4,,-6.1,,-44.9,,33,42,26,0.0033,0.1043,0.1774
United Arab Emirates,,7.3,8,3.3,,10.1,,-59.2,,235,391,429,0.0026,0.8743,0.8497
India,,43.1,44,42,,2,,-4.5,,6,19,24,0.3866,0.0354,1
Indonesia,,24.2,30,27,,24,,-10.2,,4,6,17,0.0758,0.0149,0.3594
Myanmar (Burma),,14.9,20,6.7,,34,,-66.7,,8,0,0,0.0146,0.0121,0.1363
Nepal,,26.6,33.8,35.9,,27,,6.3,,19,20,31,0.008,0.0543,0.2177
Sri Lanka,,17.1,22.3,27,,30.3,,21,,22,42,43,0.0062,0.0893,0.2793
Thailand,,12,14.7,13.1,,22.6,,-10.8,,131,130,167,0.0197,0.3651,1
Timor-Leste,,2.6,11.5,22.8,,350,,97.7,,30,19,42,0.0004,0.0687,0.0598
Australia,,0.1,0.2,0.3,,38.2,,54,,244,241,254,0.0071,0.6781,1
Brunei,,15.5,18.7,31.8,,20.8,,69.6,,1521,1401,985,0.0001,1,0.2858
Japan,,0.1,0.1,0.1,,29.6,,-11.3,,1305,1362,1427,0.0348,1,1
Laos,,0,0,0,,,,,,30,25,53,0.002,0.0766,0.4523
Philippines,,19.4,28.7,23.2,,48.1,,-19.2,,37,44,53,0.0309,0.1127,0.6657
Singapore,,0.9,1.3,1.4,,43.6,,4.8,,271,495,317,0.0015,1,1
South Korea,,4.5,5.9,8.6,,31.8,,45.6,,136,135,147,0.0143,0.3798,1
Austria,0.2,0.2,0.2,0.3,9.8,-19.1,,36.3,1632,1392,1439,1383,0.0025,1,1
Belgium,0.3,0.2,0.2,0.3,-26,18.6,,35.7,817,869,977,886,0.0032,1,1
Bulgaria,11.7,14.1,22.4,24.7,21.3,58.5,,10,177,147,146,146,0.0019,0.4094,0.3523
Croatia,2.9,4.7,11.2,6.6,61.2,138.3,,-40.8,707,548,528,689,0.0011,1,0.7662
Cyprus,5.3,8.5,11.7,17.4,62.2,37.1,,49.1,238,309,508,598,0.0004,1,0.319
Czechia,0.3,0.3,0.5,0.8,6.8,78.7,,54.2,569,518,510,573,0.0029,1,1
Denmark,0.1,0.3,0.2,0.1,127.8,-45.1,,-45.3,2388,2491,2455,2347,0.0016,1,1
Estonia,0,0,0.2,0.4,,,,96.9,1437,1556,1569,1587,0.0004,1,1
Finland,0.1,0,0,0,-73.9,-100,,,2240,2272,2447,1935,0.0015,1,1
France,0.2,0.1,0.3,0.3,-44.8,134.6,,22.1,476,688,675,664,0.0182,1,1
Germany,0.2,0.1,0.2,0.2,-42.4,69.2,,22,673,824,850,921,0.0231,1,1
Greece,35.7,37.5,49.1,43.3,4.9,30.9,,-11.8,96,241,402,581,0.0029,0.8989,0.4953
Hungary,0.3,0.2,0.3,1.6,-23.2,47.5,,465.7,658,540,716,715,0.0027,1,1
Ireland,0.1,0.1,0.1,0.1,13.6,-38.6,,-7.9,1532,1329,1354,1371,0.0014,1,1
Italy,8.8,9.7,8.4,8.1,9.2,-12.5,,-3.6,811,876,959,1182,0.0165,1,1
Latvia,0,0.4,0.6,1.1,,70.9,,67.3,663,594,682,819,0.0005,1,1
Lithuania,1.1,0.8,0.5,0.3,-29.9,-33.1,,-39.2,1116,1113,1187,1308,0.0008,1,1
Luxembourg,0.7,0.2,0.2,0.3,-72.2,19.5,,52.9,1938,1645,1433,1815,0.0002,1,1
Malta,2.2,2.5,2.1,1.4,12.4,-15,,-35.4,1868,1590,1663,1693,0.0001,1,0.8207
Netherlands,0,0,0,0.1,-52.1,106.2,,98.8,999,1009,887,966,0.0049,1,1
Norway,0,0,0.1,0.1,-53.3,221.9,,0.3,1827,1615,1708,1662,0.0015,1,1
Poland,2.3,2.8,7.6,6,20.5,170.5,,-20.8,201,165,195,199,0.0105,0.5036,1
Portugal,3.3,3.9,3.9,3.8,17.4,-0.4,,-0.7,1756,1662,1539,1595,0.0029,1,1
Romania,13.7,25,28.5,23,82.4,13.9,,-19.4,116,95,107,138,0.0053,0.2833,0.4203
Slovakia,1.5,3,5.3,5.1,100.9,76.5,,-3.7,417,402,418,411,0.0015,1,1
Slovenia,0.1,0,0.2,0.4,-100,,,123.7,1843,1825,1922,1923,0.0006,1,1
Spain,2.6,1.3,1.4,1.7,-47.8,3.9,,21,455,423,338,531,0.0131,1,1
Sweden,0,0.1,0.1,0,195.6,144.9,,-70.6,2191,2264,2432,2434,0.0029,1,1
United Kingdom,0.1,0.1,0,0.3,46.5,-100,,,1006,850,1137,1288,0.0186,1,1
Argentina,11.9,16.5,27.2,27,38.6,65,,-0.5,366,415,402,336,0.0125,1,1
Bolivia,0.2,1.5,12.2,3.9,533.1,712.3,,-67.7,291,252,675,371,0.0033,1,1
Colombia,6.1,7,7.7,6.4,14.5,9.5,,-17.3,1849,2395,2275,2271,0.014,1,1
Costa Rica,1.6,0.7,6.9,0,-56,895.9,,-100,127,116,103,113,0.0014,0.3061,0.5747
Dominican Republic,0.6,1.1,6.6,1.2,77.2,485.5,,-81.8,104,80,71,572,0.003,0.2118,0.8258
Ecuador,17.2,25,12.8,13.8,45.5,-48.6,,7.7,2052,1209,1692,971,0.0048,1,1
Guatemala,10,6.4,5,17.8,-35.4,-21.7,,253.6,30,190,68,1331,0.0048,0.3607,0.8204
Nicaragua,3.1,22.3,6.2,10.9,617,-72.3,,76.8,2015,582,1674,520,0.0018,1,1
Paraguay,13.1,10.1,10.5,18.8,-23,3.8,,79,623,155,451,825,0.0018,0.847,0.5969
Australia,,0.1,0.2,0.3,,38.2,,54,,244,241,254,0.0071,0.6781,1
Austria,,0.2,0.2,0.3,,-19.1,,36.3,,1392,1439,1383,0.0025,1,1
Bahrain,,48.2,55.2,47.9,,14.6,,-13.3,,281,308,278,0.0004,0.8229,0.1758
Belgium,,0.2,0.2,0.3,,18.6,,35.7,,869,977,886,0.0032,1,1
Brunei,,15.5,18.7,31.8,,20.8,,69.6,,1521,1401,985,0.0001,1,0.2858
Bulgaria,,14.1,22.4,24.7,,58.5,,10,,147,146,146,0.0019,0.4094,0.3523
Croatia,,4.7,11.2,6.6,,138.3,,-40.8,,548,528,689,0.0011,1,0.7662
Cyprus,,8.5,11.7,17.4,,37.1,,49.1,,309,508,598,0.0004,1,0.319
Czechia,,0.3,0.5,0.8,,78.7,,54.2,,518,510,573,0.0029,1,1
Denmark,,0.3,0.2,0.1,,-45.1,,-45.3,,2491,2455,2347,0.0016,1,1
Estonia,,0,0.2,0.4,,,,96.9,,1556,1569,1587,0.0004,1,1
Finland,,0,0,0,,-100,,,,2272,2447,1935,0.0015,1,1
France,,0.1,0.3,0.3,,134.6,,22.1,,688,675,664,0.0182,1,1
Germany,,0.1,0.2,0.2,,69.2,,22,,824,850,921,0.0231,1,1
Greece,,37.5,49.1,43.3,,30.9,,-11.8,,241,402,581,0.0029,0.8989,0.4953
Hungary,,0.2,0.3,1.6,,47.5,,465.7,,540,716,715,0.0027,1,1
Ireland,,0.1,0.1,0.1,,-38.6,,-7.9,,1329,1354,1371,0.0014,1,1
Italy,,9.7,8.4,8.1,,-12.5,,-3.6,,876,959,1182,0.0165,1,1
Japan,,0.1,0.1,0.1,,29.6,,-11.3,,1305,1362,1427,0.0348,1,1
Kuwait,,41.5,29.7,17.2,,-28.4,,-42.2,,66,81,279,0.0012,0.2049,0.1589
Latvia,,0.4,0.6,1.1,,70.9,,67.3,,594,682,819,0.0005,1,1
Lithuania,,0.8,0.5,0.3,,-33.1,,-39.2,,1113,1187,1308,0.0008,1,1
Luxembourg,,0.2,0.2,0.3,,19.5,,52.9,,1645,1433,1815,0.0002,1,1
Malta,,2.5,2.1,1.4,,-15,,-35.4,,1590,1663,1693,0.0001,1,0.8207
Netherlands,,0,0,0.1,,106.2,,98.8,,1009,887,966,0.0049,1,1
Norway,,0,0.1,0.1,,221.9,,0.3,,1615,1708,1662,0.0015,1,1
Oman,,38.4,49.5,23.9,,28.9,,-51.7,,49,130,144,0.0012,0.2498,0.1656
Poland,,2.8,7.6,6,,170.5,,-20.8,,165,195,199,0.0105,0.5036,1
Portugal,,3.9,3.9,3.8,,-0.4,,-0.7,,1662,1539,1595,0.0029,1,1
Qatar,,3,1.3,3,,-58.4,,139.6,,451,316,436,0.0008,1,1
Romania,,25,28.5,23,,13.9,,-19.4,,95,107,138,0.0053,0.2833,0.4203
Saudi Arabia,,39.8,35.3,23,,-11.3,,-34.8,,74,31,52,0.0085,0.1465,0.3408
Singapore,,0.9,1.3,1.4,,43.6,,4.8,,271,495,317,0.0015,1,1
Slovakia,,3,5.3,5.1,,76.5,,-3.7,,402,418,411,0.0015,1,1
Slovenia,,0,0.2,0.4,,,,123.7,,1825,1922,1923,0.0006,1,1
South Korea,,4.5,5.9,8.6,,31.8,,45.6,,136,135,147,0.0143,0.3798,1
Spain,,1.3,1.4,1.7,,3.9,,21,,423,338,531,0.0131,1,1
Sweden,,0.1,0.1,0,,144.9,,-70.6,,2264,2432,2434,0.0029,1,1
United Arab Emirates,,7.3,8,3.3,,10.1,,-59.2,,235,391,429,0.0026,0.8743,0.8497
United Kingdom,,0.1,0,0.3,,-100,,,,850,1137,1288,0.0186,1,1
Argentina,,16.5,27.2,27,,65,,-0.5,,415,402,336,0.0125,1,1
Colombia,,7,7.7,6.4,,9.5,,-17.3,,2395,2275,2271,0.014,1,1
Costa Rica,,0.7,6.9,0,,895.9,,-100,,116,103,113,0.0014,0.3061,0.5747
Dominican Republic,,1.1,6.6,1.2,,485.5,,-81.8,,80,71,572,0.003,0.2118,0.8258
Ecuador,,25,12.8,13.8,,-48.6,,7.7,,1209,1692,971,0.0048,1,1
Guatemala,,6.4,5,17.8,,-21.7,,253.6,,190,68,1331,0.0048,0.3607,0.8204
Indonesia,,24.2,30,27,,24,,-10.2,,4,6,17,0.0758,0.0149,0.3594
Iran,,47.9,57.3,49.3,,19.6,,-13.8,,12,17,19,0.0242,0.0406,0.3003
Iraq,,38.5,40,47.3,,3.9,,18.2,,8,16,31,0.0116,0.0331,0.1891
Mauritius,,30.8,35.1,35.1,,13.9,,0.1,,1020,895,839,0.0004,1,0.3135
Paraguay,,10.1,10.5,18.8,,3.8,,79,,155,451,825,0.0018,0.847,0.5969
South Africa,,30.6,37.4,33.4,,22.2,,-10.7,,362,353,384,0.0167,1,1
Thailand,,12,14.7,13.1,,22.6,,-10.8,,131,130,167,0.0197,0.3651,1
Argentina,,16.5,27.2,27,,65,,-0.5,,415,402,336,0.0125,1,1
Colombia,,7,7.7,6.4,,9.5,,-17.3,,2395,2275,2271,0.014,1,1
Costa Rica,,0.7,6.9,0,,895.9,,-100,,116,103,113,0.0014,0.3061,0.5747
Dominican Republic,,1.1,6.6,1.2,,485.5,,-81.8,,80,71,572,0.003,0.2118,0.8258
Ecuador,,25,12.8,13.8,,-48.6,,7.7,,1209,1692,971,0.0048,1,1
Guatemala,,6.4,5,17.8,,-21.7,,253.6,,190,68,1331,0.0048,0.3607,0.8204
Indonesia,,24.2,30,27,,24,,-10.2,,4,6,17,0.0758,0.0149,0.3594
Iran,,47.9,57.3,49.3,,19.6,,-13.8,,12,17,19,0.0242,0.0406,0.3003
Iraq,,38.5,40,47.3,,3.9,,18.2,,8,16,31,0.0116,0.0331,0.1891
Mauritius,,30.8,35.1,35.1,,13.9,,0.1,,1020,895,839,0.0004,1,0.3135
Paraguay,,10.1,10.5,18.8,,3.8,,79,,155,451,825,0.0018,0.847,0.5969
South Africa,,30.6,37.4,33.4,,22.2,,-10.7,,362,353,384,0.0167,1,1
Thailand,,12,14.7,13.1,,22.6,,-10.8,,131,130,167,0.0197,0.3651,1
Bolivia,,1.5,12.2,3.9,,712.3,,-67.7,,252,675,371,0.0033,1,1
Burkina Faso,,0,17.9,10.5,,,,-41.1,,1,1,2,0.0059,0.0029,0.0416
Ethiopia,,37.5,30.1,39.1,,-19.7,,29.8,,1,1,2,0.0328,0.0029,0.0978
India,,43.1,44,42,,2,,-4.5,,6,19,24,0.3866,0.0354,1
Jordan,,24.4,47.4,32.6,,93.9,,-31.1,,36,29,134,0.003,0.0909,0.1711
Laos,,0,0,0,,,,,,30,25,53,0.002,0.0766,0.4523
Lebanon,,21.1,25.5,10.7,,20.7,,-57.8,,64,38,216,0.0016,0.1425,0.169
Mali,,12.9,13,13,,1.4,,0,,3,3,3,0.006,0.009,0.1042
Myanmar (Burma),,14.9,20,6.7,,34,,-66.7,,8,0,0,0.0146,0.0121,0.1363
Nepal,,26.6,33.8,35.9,,27,,6.3,,19,20,31,0.008,0.0543,0.2177
Nicaragua,,22.3,6.2,10.9,,-72.3,,76.8,,582,1674,520,0.0018,1,1
Pakistan,,37.8,39.3,39.2,,3.8,,-0.1,,7,39,60,0.0648,0.064,0.5861
Philippines,,19.4,28.7,23.2,,48.1,,-19.2,,37,44,53,0.0309,0.1127,0.6657
Sri Lanka,,17.1,22.3,27,,30.3,,21,,22,42,43,0.0062,0.0893,0.2793
Tanzania,,17.9,2.3,9.6,,-86.9,,309.5,,0,2,5,0.0168,0.0035,0.1161
Timor-Leste,,2.6,11.5,22.8,,350,,97.7,,30,19,42,0.0004,0.0687,0.0598
Tunisia,,49.1,46.1,25.4,,-6.1,,-44.9,,33,42,26,0.0033,0.1043,0.1774
Zambia,,10,3.1,13.8,,-69,,344.8,,1,7,3,0.0053,0.0101,0.1004